molecule_chembl_id;canonical_smiles;standard_value;clase;Molecule;num_atoms;heavy_atoms;molecular_weight;log_p
CHEMBL414531;COc1cc(-n2cnnc2-c2ccc3c(ccn3C)c2)cc(OC)c1OC;5600.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383a00>;47;27;364.15354050000053;3.451800000000002
CHEMBL207074;COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NS(=O)(=O)c1ccccc1[N+](=O)[O-])CC2;5600.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383ae0>;64;38;542.1359014120007;3.622200000000002
CHEMBL44212;COc1ccc2c(O)nc(/C=C/c3ccccc3)nc2c1;5700.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383bc0>;35;21;278.1055276880004;3.514400000000002
CHEMBL2313807;COc1cc(C(=O)c2c(-c3ccccc3)[nH]c3ccccc23)cc(OC)c1OC;5700.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383ca0>;50;29;387.14705815200057;5.091700000000004
CHEMBL161957;COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1;5700.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383d80>;41;25;344.08960285200044;2.897000000000001
CHEMBL3604202;COc1ccc2c(c1)CCCN2c1nc(NC2CCCC2)nc2ccccc12;5700.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383e60>;54;28;374.21066145200075;5.077200000000004
CHEMBL3355830;COc1ccc(/C=C/C(=O)c2cc3c(cc2OC)OCS3)cc1;5800.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9383f40>;39;23;328.0769299920005;4.041900000000004
CHEMBL3823710;COc1cc(-c2nnc(SCC(=O)Nc3ccc(C)cc3)n2N)cc(OC)c1OC;5900.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93840b0>;53;30;429.14707521600064;2.7239200000000006
CHEMBL376708;COc1ccc(-n2cnnc2-c2cc(OC)c(OC)c(OC)c2)cc1O;6000.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384190>;45;26;357.1324707080005;2.674300000000001
CHEMBL2313473;COc1cc(C(=O)c2c(-c3ccncc3)[nH]c3ccccc23)cc(OC)c1OC;6000.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384270>;49;29;388.1423071200005;4.4867000000000035
CHEMBL103856;COc1ccc(/C=C(/C#N)c2cc(OC)c(OC)c(OC)c2)cc1;6025.6;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384350>;43;24;325.1314080880005;3.785180000000003
CHEMBL73296;CCCOc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1;6025.6;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384430>;48;24;328.1674592480007;4.671600000000004
CHEMBL307624;COc1ccc2c(C(O)c3ccc(OC)c(O)c3)c(-c3cc(OC)c(OC)c(OC)c3)sc2c1;6100.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384510>;60;34;482.13992417200063;5.398600000000004
CHEMBL3318116;COc1cc(C(=O)c2ccn(-c3ccccc3OC(C)C)c2)cc(OC)c1OC;6100.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93845f0>;54;29;395.17327290000065;4.521300000000004
CHEMBL5188007;COc1ccc(C2CC(O)=Nc3c2ncn3-c2cccc(C(F)(F)F)c2)cc1O;6100.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93846d0>;45;29;403.1143760320004;4.728900000000003
CHEMBL2299100;COc1cc(/C=C\c2cccc(SC)c2)cc(OC)c1OC;6165.95;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93847b0>;42;22;316.1133155000005;4.604700000000005
CHEMBL223922;COC(=O)c1[nH]c2ccc(OC)cc2c1Sc1ccccc1;6200.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384890>;37;22;313.0772643400004;4.114300000000003
CHEMBL3400561;CCC1=CC2CN(/C=C(/C(=O)OC)Cc3c([nH]c4ccc(I)cc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1;6200.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384970>;121;64;988.3119420240016;5.457600000000006
CHEMBL427472;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@H](O)CC2;6200.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384a50>;48;26;374.1187948040006;3.4411000000000023
CHEMBL4283824;COc1cc(C(=O)c2c[nH]c3c(-c4ccsc4)cccc23)cc(OC)c1OC;6200.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384b30>;47;28;393.1034790880005;5.1532000000000036
CHEMBL211913;Cc1ccc(Nc2nc(-n3cc(C)nc3C)cs2)cc1;6250.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384c10>;36;20;284.10956751200047;3.9976600000000024
CHEMBL5191842;Cc1ccc2nc(NC(=O)OC(C)C)[nH]c2c1;6270.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384cf0>;32;17;233.11642672;2.828220000000001
CHEMBL229622;COc1cc(Sc2c[nH]c3ccc(O)cc23)cc(OC)c1OC;6300.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384dd0>;40;23;331.0878290240004;4.050500000000002
CHEMBL2313471;COc1cc(C(=O)c2c(-c3cccnc3)[nH]c3ccccc23)cc(OC)c1OC;6300.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384eb0>;49;29;388.1423071200005;4.4867000000000035
CHEMBL330407;COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1N;6500.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9384f90>;44;23;315.1470581520006;3.473600000000002
CHEMBL2313796;COc1cc(Cc2c(-c3ccoc3)[nH]c3ccccc23)cc(OC)c1OC;6500.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385070>;48;27;363.14705815200057;5.044500000000004
CHEMBL2322513;COc1ccc([C@H]2C[C@H]2c2cc(OC)c(OC)c(OC)c2)cc1O;6800.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385150>;46;24;330.1467238040006;3.6977000000000033
CHEMBL229623;COc1cc(Sc2c[nH]c3ccc(OCCO)cc23)cc(OC)c1OC;6800.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385230>;47;26;375.1140437720005;3.716000000000002
CHEMBL2313794;COc1cc(Cc2c(-c3ccco3)[nH]c3ccccc23)cc(OC)c1OC;6800.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e9385310>;48;27;363.14705815200057;5.044500000000004
CHEMBL3318099;COc1cc(C(=O)c2ccn(-c3ccccc3N)c2)cc(OC)c1OC;6800.0;intermediate;<rdkit.Chem.rdchem.Mol object at 0x7f54e93853f0>;46;26;352.1423071200005;3.316300000000002
