molecule_chembl_id;canonical_smiles;standard_value;clase
CHEMBL4549053;COc1cc(C(=O)c2cn(-c3ccc(C)cc3)cc2-c2ccc([N+](=O)[O-])cc2)cc(OC)c1OC;650.0;intermediate
CHEMBL18981;COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2;650.0;intermediate
CHEMBL4444918;COc1cc(C(=O)c2cn(-c3ccc(Br)cc3)cc2-c2ccccc2)cc(OC)c1OC;660.0;intermediate
CHEMBL4520006;COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2ccccc2F)cc(OC)c1OC;660.0;intermediate
CHEMBL4555531;COc1cc(C(=O)c2cn(-c3ccccc3)cc2-c2ccccc2Br)cc(OC)c1OC;670.0;intermediate
CHEMBL3600757;COc1ccc(S(=O)(=O)Nc2ccccc2-c2ccc(C#N)c(F)c2)cc1;670.0;intermediate
CHEMBL2369028;C=CC[C@H](CC/C(C)=C/C=C/CC/C=C\[C@@H]1CSC([C@@H]2C[C@@H]2C)=N1)OC;670.0;intermediate
CHEMBL398400;COc1ccc(-c2snnc2-c2cc(OC)c(OC)c(OC)c2)cc1N;680.0;intermediate
CHEMBL4434964;COc1cc(C(=O)c2cn(-c3ccc(F)cc3)cc2-c2ccccc2[N+](=O)[O-])cc(OC)c1OC;680.0;intermediate
CHEMBL553025;CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2;700.0;intermediate
CHEMBL203755;Fc1ccc(CNc2ncccc2-c2nnc(Nc3ccc4c(c3)OCCO4)o2)cc1F;700.0;intermediate
CHEMBL233013;COc1ccc(-c2snnc2-c2cc(OC)c(OC)c(OC)c2)cc1O;700.0;intermediate
CHEMBL203062;c1cncc(CNc2ncccc2-c2nnc(Nc3ccc4c(c3)OCCO4)o2)c1;700.0;intermediate
